DL% UL%  Dled  Uled  Xfers  Live Total     Current  Left    Speed

--  --      0     0    12    12  --:--:-- --:--:-- --:--:--     0      
  0 --   208M     0    12    12   1:17:21  0:00:45  1:16:45 6032k      
  0 --   212M     0    12    12   1:13:16  0:00:46  1:12:42 6368k      
  0 --   215M     0    12    12   1:12:10  0:00:46  1:11:36 6465k      
  0 --   218M     0    12    12   1:12:29  0:00:47  1:11:54 6437k      
  0 --   221M     0    12    12   1:11:30  0:00:48  1:10:55 6525k      
  0 --   224M     0    12    12   1:11:11  0:00:48  1:10:36 6553k      
  0 --   228M     0    12    12   1:11:43  0:00:49  1:11:07 6505k      
  0 --   230M     0    12    12   1:13:19  0:00:49  1:12:42 6363k      
  0 --   233M     0    12    12   1:15:32  0:00:50  1:14:54 6176k      
  0 --   236M     0    12    12   1:15:15  0:00:50  1:14:36 6200k      
  0 --   239M     0    12    12   1:16:46  0:00:51  1:16:05 6078k      
  0 --   243M     0    12    12   1:15:28  0:00:51  1:14:48 6182k      
  0 --   246M     0    12    12   1:13:29  0:00:52  1:12:49 6349k      
  0 --   250M     0    12    12   1:13:11  0:00:52  1:12:31 6374k      
  0 --   253M     0    12    12   1:13:45  0:00:53  1:13:04 6326k      
  0 --   256M     0    12    12   1:13:47  0:00:53  1:13:06 6323k      
  0 --   259M     0    12    12   1:13:02  0:00:54  1:12:20 6389k      
  0 --   263M     0    12    12   1:12:11  0:00:54  1:11:29 6464k      
  0 --   266M     0    12    12   1:11:28  0:00:55  1:10:46 6528k      
  0 --   270M     0    12    12   1:10:17  0:00:55  1:09:35 6638k      
  1 --   273M     0    12    12   1:09:45  0:00:56  1:09:03 6689k      
  1 --   277M     0    12    12   1:09:53  0:00:56  1:09:10 6676k      
  1 --   281M     0    12    12   1:09:29  0:00:57  1:08:46 6714k      
  1 --   285M     0    12    12   1:08:15  0:00:57  1:07:32 6836k      
  1 --   289M     0    12    12   1:05:45  0:00:58  1:05:03 7095k      
  1 --   293M     0    12    12   1:03:44  0:00:58  1:03:03 7319k      
  1 --   297M     0    12    12   1:02:55  0:00:59  1:02:13 7416k      
  1 --   301M     0    12    12   1:02:36  0:00:59  1:01:55 7452k      
  1 --   305M     0    12    12   1:00:43  0:01:00  1:00:02 7685k      
  1 --   309M     0    12    12   1:00:47  0:01:01  1:00:06 7675k      
  1 --   312M     0    12    12   1:02:07  0:01:01  1:01:24 7511k      
  1 --   316M     0    12    12   1:01:44  0:01:02  1:01:01 7558k      
  1 --   319M     0    12    12   1:01:57  0:01:02  1:01:14 7530k      
  1 --   323M     0    12    12   1:03:00  0:01:03  1:02:15 7406k      
  1 --   327M     0    12    12   1:04:39  0:01:03  1:03:52 7217k      
  1 --   330M     0    12    12   1:05:45  0:01:04  1:04:57 7096k      
  1 --   334M     0    12    12   1:03:41  0:01:04  1:02:54 7326k      
  1 --   338M     0    12    12   1:06:15  0:01:05  1:05:26 7041k      
  1 --   341M     0    12    12   1:06:23  0:01:05  1:05:33 7028k      
  1 --   345M     0    12    12   1:04:32  0:01:06  1:03:43 7230k      
  1 --   349M     0    12    12   1:03:47  0:01:06  1:02:58 7315k      
  1 --   354M     0    12    12   1:02:48  0:01:07  1:01:59 7428k      
  1 --   357M     0    12    12   1:02:53  0:01:07  1:02:03 7419k      
  1 --   362M     0    12    12   1:01:00  0:01:08  1:00:12 7647k      
  1 --   366M     0    12    12   0:58:07  0:01:08  0:57:21 8027k      
  1 --   371M     0    12    12   0:58:23  0:01:09  0:57:35 7991k      
  1 --   375M     0    12    12   0:56:08  0:01:09  0:55:21 8312k      
  1 --   379M     0    12    12   0:57:01  0:01:10  0:56:13 8183k      
  1 --   382M     0    12    12   0:57:34  0:01:10  0:56:46 8103k      
  1 --   386M     0    12    12   0:57:40  0:01:11  0:56:51 8090k      
  1 --   390M     0    12    12   0:58:12  0:01:11  0:57:22 8016k      
  1 --   395M     0    12    12   0:56:23  0:01:12  0:55:34 8274k      
  1 --   399M     0    12    12   0:56:42  0:01:13  0:55:52 8229k      
  1 --   403M     0    12    12   0:58:52  0:01:13  0:58:00 7924k      
  1 --   407M     0    12    12   0:59:52  0:01:14  0:58:59 7792k      
  1 --   411M     0    12    12   1:00:59  0:01:14  1:00:04 7649k      
  1 --   415M     0    12    12   0:59:23  0:01:15  0:58:29 7857k      
  1 --   419M     0    12    12   0:57:55  0:01:15  0:57:02 8055k      
  1 --   423M     0    12    12   0:58:03  0:01:16  0:57:09 8036k      
  1 --   435M     0    12    12   1:04:29  0:01:18  1:03:28 7235k      
  1 --   442M     0    12    12   1:01:19  0:01:18  1:00:20 7608k      
  1 --   447M     0    12    12   1:00:24  0:01:19  0:59:24 7725k      
  1 --   451M     0    12    12   0:58:45  0:01:19  0:57:47 7941k      
  1 --   455M     0    12    12   0:58:37  0:01:20  0:57:38 7960k      
  1 --   459M     0    12    12   0:58:49  0:01:20  0:57:49 7933k      
  1 --   463M     0    12    12   0:58:41  0:01:21  0:57:41 7951k      
  1 --   466M     0    12    12   0:59:47  0:01:21  0:58:46 7803k      
  1 --   472M     0    12    12   1:05:18  0:01:23  1:04:10 7145k      
  1 --   480M     0    12    12   0:54:25  0:01:23  0:53:28 8574k      
  1 --   484M     0    12    12   0:58:13  0:01:24  0:57:11 8014k      
  1 --   488M     0    12    12   0:59:11  0:01:24  0:58:07 7883k      
  1 --   492M     0    12    12   1:00:58  0:01:25  0:59:52 7652k      
  1 --   496M     0    12    12   1:00:01  0:01:25  0:58:55 7774k      
  1 --   501M     0    12    12   0:59:03  0:01:26  0:57:58 7902k      
  1 --   505M     0    12    12   0:58:48  0:01:26  0:57:43 7934k      
  1 --   508M     0    12    12   0:58:48  0:01:27  0:57:42 7934k      
  1 --   513M     0    12    12   0:51:34  0:01:27  0:50:36 9048k      
  1 --   517M     0    12    12   0:56:47  0:01:28  0:55:43 8216k      
  1 --   520M     0    12    12   0:57:55  0:01:28  0:56:49 8054k      
  1 --   524M     0    12    12   0:58:57  0:01:29  0:57:50 7913k      
  1 --   528M     0    12    12   0:58:46  0:01:29  0:57:38 7938k      
  1 --   531M     0    12    12   1:00:36  0:01:30  0:59:25 7699k      
  1 --   535M     0    12    12   1:02:50  0:01:30  1:01:36 7425k      
  1 --   538M     0    12    12   1:05:21  0:01:31  1:04:03 7140k      
  1 --   541M     0    12    12   1:06:22  0:01:31  1:05:04 7029k      
  1 --   543M     0    12    12   1:09:51  0:01:32  1:08:27 6679k      
  2 --   547M     0    12    12   1:11:46  0:01:33  1:10:20 6500k      
  2 --   550M     0    12    12   1:12:03  0:01:33  1:10:36 6475k      
  2 --   554M     0    12    12   1:11:22  0:01:34  1:09:55 6537k      
  2 --   558M     0    12    12   1:11:38  0:01:34  1:10:10 6513k      
  2 --   562M     0    12    12   1:09:55  0:01:35  1:08:29 6673k      
  2 --   566M     0    12    12   1:07:51  0:01:35  1:06:26 6876k      
  2 --   571M     0    12    12   1:04:44  0:01:36  1:03:23 7207k      
  2 --   575M     0    12    12   1:02:22  0:01:36  1:01:03 7482k      
  2 --   579M     0    12    12   1:00:16  0:01:37  0:58:59 7741k      
  2 --   582M     0    12    12   1:00:44  0:01:37  0:59:26 7682k      
  2 --   586M     0    12    12   0:59:40  0:01:38  0:58:23 7819k      
  2 --   590M     0    12    12   1:00:34  0:01:38  0:59:15 7704k      
  2 --   593M     0    12    12   1:00:59  0:01:39  0:59:40 7649k      
  2 --   597M     0    12    12   1:02:00  0:01:39  1:00:38 7525k      
  2 --   601M     0    12    12   1:02:21  0:01:40  1:00:58 7483k      
  2 --   604M     0    12    12   1:04:56  0:01:40  1:03:30 7185k      
  2 --   608M     0    12    12   1:05:38  0:01:41  1:04:10 7109k      
  2 --   612M     0    12    12   1:05:36  0:01:41  1:04:08 7111k      
  2 --   616M     0    12    12   1:04:00  0:01:42  1:02:34 7289k      
  2 --   620M     0    12    12   1:05:08  0:01:43  1:03:40 7162k      
  2 --   623M     0    12    12   1:05:13  0:01:43  1:03:44 7154k      
  2 --   627M     0    12    12   1:04:25  0:01:44  1:02:56 7243k      
  2 --   631M     0    12    12   1:03:12  0:01:44  1:01:44 7382k      
  2 --   635M     0    12    12   1:03:45  0:01:45  1:02:16 7317k      
  2 --   639M     0    12    12   1:01:38  0:01:45  1:00:11 7571k      
  2 --   643M     0    12    12   1:01:18  0:01:46  0:59:52 7610k      
  2 --   648M     0    12    12   1:00:23  0:01:46  0:58:57 7727k      
  2 --   652M     0    12    12   1:00:23  0:01:47  0:58:57 7725k      
  2 --   655M     0    12    12   1:00:21  0:01:47  0:58:54 7732k      
  2 --   659M     0    12    12   0:59:44  0:01:48  0:58:18 7810k      
  2 --   663M     0    12    12   0:58:37  0:01:48  0:57:11 7960k      
  2 --   667M     0    12    12   0:58:43  0:01:49  0:57:17 7946k      
  2 --   671M     0    12    12   1:00:01  0:01:49  0:58:32 7774k      
  2 --   673M     0    12    12   1:02:48  0:01:50  1:01:15 7430k      
  2 --   677M     0    12    12   1:03:07  0:01:50  1:01:34 7391k      
  2 --   681M     0    12    12   1:04:48  0:01:51  1:03:12 7199k      
  2 --   684M     0    12    12   1:06:16  0:01:51  1:04:36 7041k      
  2 --   688M     0    12    12   1:06:18  0:01:52  1:04:38 7036k      
  2 --   691M     0    12    12   1:05:53  0:01:52  1:04:13 7082k      
  2 --   696M     0    12    12   1:06:13  0:01:53  1:04:32 7046k      
  2 --   699M     0    12    12   1:07:09  0:01:53  1:05:26 6947k      
  2 --   703M     0    12    12   1:04:55  0:01:54  1:03:15 7187k      
  2 --   707M     0    12    12   1:03:14  0:01:55  1:01:36 7378k      
  2 --   710M     0    12    12   1:04:17  0:01:55  1:02:37 7257k      
  2 --   714M     0    12    12   1:03:43  0:01:56  1:02:03 7321k      
  2 --   718M     0    12    12   1:02:33  0:01:56  1:00:54 7460k      
  2 --   721M     0    12    12   1:02:56  0:01:57  1:01:16 7413k      
  2 --   725M     0    12    12   1:03:47  0:01:57  1:02:06 7314k      
  2 --   728M     0    12    12   1:06:32  0:01:58  1:04:45 7013k      
  2 --   731M     0    12    12   1:06:57  0:01:58  1:05:10 6968k      
  2 --   735M     0    12    12   1:06:59  0:01:59  1:05:11 6965k      
  2 --   738M     0    12    12   1:07:05  0:01:59  1:05:16 6955k      
  2 --   742M     0    12    12   1:06:18  0:02:00  1:04:30 7037k      
  2 --   746M     0    12    12   1:07:13  0:02:00  1:05:22 6942k      
  2 --   749M     0    12    12   1:07:02  0:02:01  1:05:12 6960k      
  2 --   754M     0    12    12   1:05:01  0:02:01  1:03:14 7175k      
  2 --   758M     0    12    12   1:03:28  0:02:02  1:01:42 7352k      
  2 --   762M     0    12    12   1:01:18  0:02:02  0:59:36 7610k      
  2 --   766M     0    12    12   0:59:53  0:02:03  0:58:13 7790k      
  2 --   770M     0    12    12   0:59:44  0:02:03  0:58:03 7810k      
  2 --   774M     0    12    12   0:59:06  0:02:04  0:57:25 7894k      
  2 --   778M     0    12    12   0:58:38  0:02:04  0:56:58 7957k      
  2 --   782M     0    12    12   0:58:36  0:02:05  0:56:56 7960k      
  2 --   787M     0    12    12   0:57:23  0:02:05  0:55:44 8131k      
  2 --   790M     0    12    12   0:59:06  0:02:06  0:57:24 7893k      
  2 --   792M     0    12    12   1:02:56  0:02:06  1:01:07 7413k      
  2 --   794M     0    12    12   1:05:57  0:02:07  1:04:01 7075k      
  2 --   797M     0    12    12   1:09:19  0:02:07  1:07:18 6730k      
  2 --   801M     0    12    12   1:10:47  0:02:08  1:08:42 6592k      
  2 --   804M     0    12    12   1:11:26  0:02:08  1:09:20 6531k      
  2 --   808M     0    12    12   1:12:23  0:02:09  1:10:15 6445k      
  2 --   811M     0    12    12   1:11:48  0:02:10  1:09:40 6498k      
  2 --   815M     0    12    12   1:14:29  0:02:10  1:12:16 6263k      
  2 --   819M     0    12    12   1:12:03  0:02:11  1:09:53 6475k      
  3 --   823M     0    12    12   1:08:13  0:02:11  1:06:10 6839k      
  3 --   827M     0    12    12   1:04:59  0:02:12  1:03:01 7179k      
  3 --   831M     0    12    12   1:02:14  0:02:12  1:00:20 7496k      
  3 --   835M     0    12    12   1:01:43  0:02:13  0:59:49 7560k      
  3 --   839M     0    12    12   1:01:03  0:02:13  0:59:10 7643k      
  3 --   843M     0    12    12   0:59:16  0:02:14  0:57:26 7872k      
  3 --   847M     0    12    12   0:59:34  0:02:14  0:57:43 7832k      
  3 --   852M     0    12    12   0:58:05  0:02:15  0:56:17 8032k      
  3 --   856M     0    12    12   0:58:35  0:02:15  0:56:45 7964k      
  3 --   859M     0    12    12   0:58:51  0:02:16  0:57:00 7927k      
  3 --   864M     0    12    12   0:58:44  0:02:16  0:56:53 7943k      
  3 --   868M     0    12    12   0:59:04  0:02:17  0:57:12 7898k      
  3 --   871M     0    12    12   0:59:37  0:02:17  0:57:43 7825k      
  3 --   875M     0    12    12   1:00:15  0:02:18  0:58:19 7744k      
  3 --   879M     0    12    12   1:02:32  0:02:19  1:00:32 7460k      
  3 --   882M     0    12    12   1:03:15  0:02:19  1:01:12 7376k      
  3 --   886M     0    12    12   1:04:07  0:02:20  1:02:03 7276k      
